,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Royal Salute 21 Year Old Signature Blend,40,70,125
1,Bell's Prince Henry (1984),40,50,99.95
2,Bell's Prince Andrew & Miss Ferguson (1986),43,75,60.75
3,Bells Old Brown Decanter,40,20,299
4,Bell's Prince Charles Visit to Cherrybank Garden,43,18.75,299
5,Bell's Hawaii,43,75,250
6,Grant's Castle Grant,43,75,250
7,Strathmill Centenary Decanter (1891-1991),43,75,"1,200"
8,Cherrybank Gardens,43,5,120
9,Grants Character Jug 25 Year Old,43,75,299
10,Friar John Cor,43,100,350
11,Famous Grouse,40,70,225
12,Famous Grouse Highland Decanter,40,70,225
13,Bell's Christmas 1988,43,75,250
14,Bell's Princess Eugenie (1990),43,75,60.75
15,Bell's 150 Years of Bell's,40,18.75,399
16,Bell's Princess Beatrice (1988),43,75,60.75
17,Royal Salute 21 Year Old Signature Blend,40,70,125
18,Bell's Prince Henry (1984),40,50,99.95
19,Bell's Prince Andrew & Miss Ferguson (1986),43,75,60.75
20,Bells Old Brown Decanter,40,20,299
21,Bell's Prince Charles Visit to Cherrybank Garden,43,18.75,299
22,Bell's Hawaii,43,75,250
23,Grant's Castle Grant,43,75,250
24,Strathmill Centenary Decanter (1891-1991),43,75,"1,200"
25,Cherrybank Gardens,43,5,120
26,Grants Character Jug 25 Year Old,43,75,299
27,Friar John Cor,43,100,350
28,Famous Grouse,40,70,225
29,Famous Grouse Highland Decanter,40,70,225
30,Bell's Christmas 1988,43,75,250
31,Bell's Princess Eugenie (1990),43,75,60.75
32,Bell's 150 Years of Bell's,40,18.75,399
33,Bell's Princess Beatrice (1988),43,75,60.75
34,Royal Salute 21 Year Old Signature Blend,40,70,125
35,Bell's Prince Henry (1984),40,50,99.95
36,Bell's Prince Andrew & Miss Ferguson (1986),43,75,60.75
37,Bells Old Brown Decanter,40,20,299
38,Bell's Prince Charles Visit to Cherrybank Garden,43,18.75,299
39,Bell's Hawaii,43,75,250
40,Grant's Castle Grant,43,75,250
41,Strathmill Centenary Decanter (1891-1991),43,75,"1,200"
42,Cherrybank Gardens,43,5,120
43,Grants Character Jug 25 Year Old,43,75,299
44,Friar John Cor,43,100,350
45,Famous Grouse,40,70,225
46,Famous Grouse Highland Decanter,40,70,225
47,Bell's Christmas 1988,43,75,250
48,Bell's Princess Eugenie (1990),43,75,60.75
49,Bell's 150 Years of Bell's,40,18.75,399
50,Bell's Princess Beatrice (1988),43,75,60.75
51,Royal Salute 21 Year Old Signature Blend,40,70,125
52,Bell's Prince Henry (1984),40,50,99.95
53,Bell's Prince Andrew & Miss Ferguson (1986),43,75,60.75
54,Bells Old Brown Decanter,40,20,299
55,Bell's Prince Charles Visit to Cherrybank Garden,43,18.75,299
56,Bell's Hawaii,43,75,250
57,Grant's Castle Grant,43,75,250
58,Strathmill Centenary Decanter (1891-1991),43,75,"1,200"
59,Cherrybank Gardens,43,5,120
60,Grants Character Jug 25 Year Old,43,75,299
61,Friar John Cor,43,100,350
62,Famous Grouse,40,70,225
63,Famous Grouse Highland Decanter,40,70,225
64,Bell's Christmas 1988,43,75,250
65,Bell's Princess Eugenie (1990),43,75,60.75
66,Bell's 150 Years of Bell's,40,18.75,399
67,Bell's Princess Beatrice (1988),43,75,60.75
68,Royal Salute 21 Year Old Signature Blend,40,70,125
69,Bell's Prince Henry (1984),40,50,99.95
70,Bell's Prince Andrew & Miss Ferguson (1986),43,75,60.75
71,Bells Old Brown Decanter,40,20,299
72,Bell's Prince Charles Visit to Cherrybank Garden,43,18.75,299
73,Bell's Hawaii,43,75,250
74,Grant's Castle Grant,43,75,250
75,Strathmill Centenary Decanter (1891-1991),43,75,"1,200"
76,Cherrybank Gardens,43,5,120
77,Grants Character Jug 25 Year Old,43,75,299
78,Friar John Cor,43,100,350
79,Famous Grouse,40,70,225
80,Famous Grouse Highland Decanter,40,70,225
81,Bell's Christmas 1988,43,75,250
82,Bell's Princess Eugenie (1990),43,75,60.75
83,Bell's 150 Years of Bell's,40,18.75,399
84,Bell's Princess Beatrice (1988),43,75,60.75
85,Royal Salute 21 Year Old Signature Blend,40,70,125
86,Bell's Prince Henry (1984),40,50,99.95
87,Bell's Prince Andrew & Miss Ferguson (1986),43,75,60.75
88,Bells Old Brown Decanter,40,20,299
89,Bell's Prince Charles Visit to Cherrybank Garden,43,18.75,299
90,Bell's Hawaii,43,75,250
91,Grant's Castle Grant,43,75,250
92,Strathmill Centenary Decanter (1891-1991),43,75,"1,200"
93,Cherrybank Gardens,43,5,120
94,Grants Character Jug 25 Year Old,43,75,299
95,Friar John Cor,43,100,350
96,Famous Grouse,40,70,225
97,Famous Grouse Highland Decanter,40,70,225
98,Bell's Christmas 1988,43,75,250
99,Bell's Princess Eugenie (1990),43,75,60.75
100,Bell's 150 Years of Bell's,40,18.75,399
101,Bell's Princess Beatrice (1988),43,75,60.75
